Unnamed: 0,id,original_language,title,overview,popularity,release_date,vote_average,vote_count
9220,86467,en,Bel Ami,"georges duroy travels through 1890s paris, from cockroach ridden garrets to opulent salons, using his wits and powers of seduction to rise from poverty to wealth, from a prostitute’s embrace to passionate trysts with wealthy beauties, in a world where politics and media jostle for influence, where sex is power and celebrity an obsession.",12.287,2012-03-09,5.2,497
1470,860159,en,Crush,"when an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. but she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",24.106,2022-04-29,7.444,412
1840,583406,en,Judas and the Black Messiah,bill o'neal infiltrates the black panthers on the orders of fbi agent mitchell and j. edgar hoover. as black panther chairman fred hampton ascends—falling for a fellow revolutionary en route—a battle wages for o’neal’s soul.,20.412,2021-02-12,7.345,1488
7832,346709,en,Line of Duty,"frank penny is a disgraced cop looking for a shot at redemption. when the police chief's 11-year-old daughter is abducted, frank goes rogue to try and save her. but to find the girl, frank will need the help of ava brooks, whose live-streaming news channel is broadcasting frank's every move.",25.75,2019-12-25,5.956,315
9503,13461,it,Melissa P.,"an adolescent girl, living with her mother and her grandmother, will have her first sexual experiences in a heavy and excessive way.",71.288,2005-11-18,4.593,552
2385,374671,ja,After the Storm,"ryota is an unpopular writer although he won a literary award 15 years ago. now, ryota works as a private detective. he is divorced from his ex-wife kyoko and he has an 11-year-old son shingo. his mother yoshiko lives alone at her apartment. one day, ryota, his ex-wife kyoko, and son shingo gather at yoshiko's apartment. a typhoon passes and the family must stay there all night long.",16.826,2016-05-21,7.2,319
2722,3549,da,After the Wedding,"a manager of an orphanage in india is sent to copenhagen, denmark, where he discovers a life-altering family secret.",11.516,2006-02-24,7.125,412
6430,1619,en,The Way of the Gun,two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,13.971,2000-09-08,6.299,416
9474,2312,en,In the Name of the King: A Dungeon Siege Tale,"a man named farmer sets out to rescue his kidnapped wife and avenge the death of his son – two acts committed by the krugs, a race of animal-warriors who are controlled by the evil gallian.",21.183,2007-11-29,4.713,814
4071,12281,en,Mean Creek,"teenagers living in small-town oregon take a boat trip for a birthday celebration. when they get an idea to play a mean trick on the town bully, it suddenly goes too far. soon they're forced to deal with the unexpected consequences of their actions.",16.666,2004-08-20,6.814,353
8830,332411,en,I Am Wrath,a man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,33.99,2016-04-14,5.536,619
988,399566,en,Godzilla vs. Kong,"in a time when monsters walk the earth, humanity’s fight for its future sets godzilla and kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",79.669,2021-03-24,7.604,9857
8370,62206,en,30 Minutes or Less,"two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",17.762,2011-08-11,5.772,1670
8795,27475,en,The Slumber Party Massacre,trish invites her high school basketball teammates over for a night they'll never forget -- or survive -- when an unexpected guest crashes the party: an escaped psychopath with a portable power drill.,13.518,1982-09-10,5.6,324
7689,4234,en,Scream 3,"while sidney prescott and her friends visit the hollywood set of stab 3, the third film based on the woodsboro murders, another ghostface killer rises to terrorize them.",41.694,2000-02-04,5.992,3489
6819,582570,en,Sextuplets,"father-to-be alan is shocked to learn that he was born a sextuplet. with his newfound brother russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.",20.29,2019-08-16,6.211,830
3077,445651,en,The Darkest Minds,"after a disease kills 98% of america's children, the surviving 2% develop superpowers and are placed in internment camps. a 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",59.144,2018-07-25,7.038,2766
308,19426,it,Nights of Cabiria,"rome, 1957. a woman, cabiria, is robbed and left to drown by her boyfriend, giorgio. rescued, she resumes her life and tries her best to find happiness in a cynical world. even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",17.8,1957-10-03,8.0,740
8439,8676,en,Fool's Gold,"treasure hunter ben ""finn"" finnegan has sunk his marriage to tess and his trusty boat in his obsessive quest to find the legendary queen's dowry. when he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags tess and her boss, billionaire nigel honeycutt, along on the hunt. but finn is not the only one interested in the gold; his former mentor-turned-enemy moe fitch, hired by rapper-turned-gangster bigg bunny, will stop at nothing to beat him to it.",25.798,2008-02-07,5.742,1440
6105,60420,en,Like Crazy,"a british college student falls for an american student, only to be separated from him when she's banned from the u.s. after overstaying her visa.",16.397,2011-10-28,6.379,1022
9247,11217,en,Club Dread,when a serial killer interrupts the fun at the swanky coconut pete's coconut beach resort -- a hedonistic island paradise for swingers --- it's up to the club's staff to stop the violence ... or at least hide it!,13.361,2004-02-27,5.215,360
1404,36685,en,The Rocky Horror Picture Show,"sweethearts brad and janet, stuck with a flat tire during a storm, discover the eerie mansion of dr. frank-n-furter, a transvestite scientist. as their innocence is lost, brad and janet meet a houseful of wild characters, including a rocking biker and a creepy butler. through elaborate dances and rock songs, frank-n-furter unveils his latest creation: a muscular man named 'rocky'.",25.515,1975-08-14,7.462,2743
7895,11078,en,National Security,"earl montgomery, a bombastic police academy reject, and hank rafferty, a disgraced, mild-mannered cop, can't seem to escape each other. they met on opposite sides of the law during a routine traffic stop that escalated out of control; now as lowly security guards they're thrown together to bust a smuggling operation.",25.646,2003-01-17,5.937,948
5420,13649,en,High School Musical 2,"the east high wildcats are gearing up for big fun as they land the coolest summer jobs imaginable. troy, gabriella, chad, and taylor have scored sweet gigs at the lava springs country club owned by sharpay and ryan's family. sharpay's first rule of business: get troy. as troy experiences a life of privilege he's never known, will he give up the wildcats and gabriella to rise to the top?",29.154,2007-08-17,6.523,3667
8448,157433,en,Pet Sematary,"dr. louis creed and his wife, rachel, move from boston to ludlow, in rural maine, with their two young children. hidden in the woods near the new family home, ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.",41.006,2019-04-04,5.737,3158
587,335578,da,Land of Mine,"in the days following the surrender of germany in may 1945, a group of young german prisoners of war is handed over to the danish authorities and subsequently sent to the west coast, where they are ordered to remove the more than two million mines that the germans had placed in the sand along the coast. with their bare hands, crawling around in the sand, the boys are forced to perform the dangerous work under the leadership of a danish sergeant.",16.897,2015-12-03,7.801,1363
6878,56909,it,The Immature,"six high school friends in their 40s who haven't seen each other in nearly 20 years rekindle their younger selves after a court cancels their diploma, forcing them to repeat the final high school exam.",10.024,2011-01-21,6.195,773
1933,122917,en,The Hobbit: The Battle of the Five Armies,"immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands.",157.837,2014-12-10,7.323,14065
6366,145135,en,Dark Skies,"from the producers of paranormal activity, insidious, and sinister comes dark skies: a supernatural thriller that follows a young family living in the suburbs. as husband and wife daniel and lacey barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. when it becomes clear that the barret family is being targeted by an unimaginably terrifying and deadly force, daniel and lacey take matters in their own hands to solve the mystery of what is after their family.",31.118,2013-02-21,6.316,1749
2675,1637,en,Speed,"jack traven, an lapd cop on swat detail, and veteran swat officer harry temple thwart an extortionist-bomber's scheme for a $3 million ransom. as they corner the bomber, he flees and detonates a bomb vest, seemingly killing himself. weeks later, jack witnesses a mass transit city bus explode and nearby a pay phone rings. on the phone is that same bomber looking for vengeance and the money he's owed. he gives a personal challenge to jack: a bomb is rigged on another city bus - if it slows down below 50 mph, it will explode - bad enough any day, but a nightmare in la traffic. and that's just the beginning...",48.023,1994-06-09,7.138,6053
6856,860623,en,Last Man Down,"after civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the nordic wilderness. years later, a wounded woman appears on his doorstep. she's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. he's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than commander stone, the man that murdered his wife some years ago.",28.918,2021-03-30,6.2,669
2150,9473,en,"South Park: Bigger, Longer & Uncut","when stan, kyle, cartman and kenny sneak into an r-rated movie featuring canadians terrance and philip, they are pronounced 'corrupted', and their parents pressure the united states to wage war against canada.",40.985,1999-06-30,7.267,2634
1873,88,en,Dirty Dancing,"expecting the usual tedium that accompanies a summer in the catskills with her family, 17-year-old frances 'baby' houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",39.593,1987-08-21,7.339,6024
6992,8978,en,Assault on Precinct 13,"on new year's eve, inside a police station that's about to be closed for good, officer jake roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster marion bishop.",21.271,2005-01-19,6.166,1061
6331,49529,en,John Carter,"john carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of barsoom (mars) and reluctantly becomes embroiled in an epic conflict. it's a world on the brink of collapse, and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands.",55.261,2012-03-07,6.323,5523
2764,2998,en,Zabriskie Point,"anthropology student daria, who's helping a property developer build a village in the los angeles desert, and dropout mark, who's wanted by the authorities for allegedly killing a policeman during a student riot, accidentally encounter each other in death valley and soon begin an unrestrained romance.",13.586,1970-03-26,7.1,385
526,198,en,To Be or Not to Be,"during the nazi occupation of poland, an acting troupe becomes embroiled in a polish soldier's efforts to track down a german spy.",12.272,1942-03-05,7.8,702
3731,10423,en,Dragon: The Bruce Lee Story,"this film is a glimpse into the life, love and the unconquerable spirit of the legendary bruce lee. from a childhood of rigorous martial arts training, lee realizes his dream of opening his own kung-fu school in america. before long, he is discovered by a hollywood producer and begins a meteoric rise to fame and an all too short reign as one the most charismatic action heroes in cinema history.",24.673,1993-05-07,6.9,718
5735,740985,en,Borat Subsequent Moviefilm,"14 years after making a film about his journey across the usa, borat risks life and limb when he returns to the united states with his young daughter, and reveals more about the culture, the covid-19 pandemic, and the political elections.",38.879,2020-10-23,6.456,2479
4140,3509,en,A Scanner Darkly,an undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,16.232,2006-07-07,6.801,1709
3993,475759,en,2048: Nowhere to Run,"“2048: nowhere to run” takes place one year before the events of blade runner 2049. the short film focuses on sapper, a man who is trying to make it through life day-by-day without turning back to his old ways. we’re introduced to both the gentle nature of sapper and the violence he’s capable of when set off.",14.082,2017-09-14,6.831,319
5543,227700,en,Anna,"a man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",16.635,2013-10-13,6.498,632
3426,232,en,Rumble Fish,"rusty james, an absent-minded street thug, struggles to live up to his legendary older brother's reputation and longs for the days when gang warfare was going on.",16.752,1983-10-09,6.958,661
6971,59570,it,Escort in Love,"35-year-old alice has a husband and a son. her life seems a beautiful dream, but it soon turns out to be a nightmare. her husband  dies in a car accident and her lawyer tells her that she is on her uppers. the only way she has to earn money in a short time is by resorting to the oldest job in history.",12.404,2011-03-18,6.171,605
5914,7873,en,Harsh Times,"jim davis is an ex-army ranger who finds himself slipping back into his old life of petty crime after a job offer from the lapd evaporates. his best friend is pressured by his girlfriend sylvia to find a job, but jim is more interested in hanging out and making cash from small heists, while trying to get a law enforcement job so he can marry his mexican girlfriend.",13.717,2005-09-11,6.421,674
2646,4688,en,Across the Universe,"when young dockworker jude leaves liverpool to find his estranged father in the united states, he is swept up by the waves of change that are re-shaping the nation. jude falls in love with lucy, who joins the growing anti-war movement. as the body count in vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.",10.33,2007-09-14,7.1,1316
763,40619,en,Day & Night,"when day, a sunny fellow, encounters night, a stranger of distinctly darker moods, sparks fly! day and night are frightened and suspicious of each other at first, and quickly get off on the wrong foot. but as they discover each other's unique qualities--and come to realize that each of them offers a different window onto the same world-the friendship helps both to gain a new perspective.",11.644,2010-06-17,7.708,873
895,261,en,Cat on a Hot Tin Roof,"an alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. his wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. his reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son.",17.469,1958-08-29,7.6,738
5430,4729,fr,The Gendarme Gets Married,"the saint-tropez police launch a major offensive against dangerous drivers. marechal cruchot (louis de funès) relishes the assignment, which he pursues with a manic zeal. cruchot is after an offending driver, who turns out to be josépha (claude gensac), the widow of a highly regarded police colonel. when they meet, cruchot falls instantly in love....",14.961,1968-10-30,6.5,546
